Building_Meter,FALSE,TRUE,PCNT
216.0 - BLD 01_7115462,98,4,0.039215686
216.0 - BLD 01_7383579,93,1,0.010638298
218.0 - BLD 01_8448317,57,1,0.017241379
22.0 - BLD 01_7693527,70,1,0.014084507
22.0 - BLD 01_8322347,58,1,0.016949153
22.0 - BLD 02_8322349,57,2,0.033898305
22.0 - BLD 03_8095295,58,1,0.016949153
22.0 - BLD 04_8322345,57,2,0.033898305
22.0 - BLD 05_8095296,58,1,0.016949153
22.0 - BLD 06_8362656,56,3,0.050847458
22.0 - BLD 08_8095297,58,1,0.016949153
22.0 - BLD 08_8322352,55,4,0.06779661
22.0 - BLD 09_8322346,57,2,0.033898305
22.0 - BLD 10_8322348,58,1,0.016949153
22.0 - BLD 11_8095298,58,1,0.016949153
22.0 - BLD 12_8322344,58,1,0.016949153
22.0 - BLD 13_8362654,58,1,0.016949153
220.0 - BLD 04_7252760,99,4,0.038834951
221.0 - BLD 02_8631979,99,4,0.038834951
221.0 - BLD 03_5705181,101,2,0.019417476
221.0 - BLD 05_7574718,99,4,0.038834951
221.0 - BLD 05_8631977,101,2,0.019417476
222.0 - BLD 03_9053782,97,4,0.03960396
223.0 - BLD 01_8383867,60,4,0.0625
224.0 - BLD 01_7209833,100,3,0.029126214
225.0 - BLD 01_8350458,65,5,0.071428571
228.0 - BLD 01_5706546,92,11,0.106796117
228.0 - BLD 02_7466780,68,3,0.042253521
228.0 - BLD 04_5704895,99,4,0.038834951
228.0 - BLD 06 - Community Center_6443504,100,3,0.029126214
228.0 - NA_7838764,99,1,0.01
229.0 - BLD 01_8448796,55,3,0.051724138
229.0 - BLD 02_7695015,84,1,0.011764706
229.0 - BLD 02_8393792,54,7,0.114754098
229.0 - BLD 02_8448795,55,4,0.06779661
23.0 - WALD BLD 01_8142768,86,1,0.011494253
23.0 - WALD BLD 02_8096640,86,2,0.022727273
23.0 - WALD BLD 03_8096626,87,1,0.011363636
23.0 - WALD BLD 04_8142775,87,1,0.011363636
23.0 - WALD BLD 05_8093921,87,1,0.011363636
23.0 - WALD BLD 06_8322243,86,2,0.022727273
23.0 - WALD BLD 07_7929552,87,1,0.011363636
23.0 - WALD BLD 08_8096621,86,2,0.022727273
23.0 - WALD BLD 09_7929571,85,3,0.034090909
23.0 - WALD BLD 10_8096625,87,1,0.011363636
23.0 - WALD BLD 11_8096622,86,2,0.022727273
23.0 - WALD BLD 12_8321865,87,1,0.011363636
23.0 - WALD BLD 13_8142763,87,1,0.011363636
23.0 - WALD BLD 14_7929558,86,2,0.022727273
23.0 - WALD BLD 15_8095198,59,4,0.063492063
23.0 - WALD BLD 16_8095196,60,3,0.047619048
23.0 - WALD BLD 17_8096619,87,1,0.011363636
230.0 - BLD 01_7025562,97,6,0.058252427
230.0 - BLD 03_8768343,98,4,0.039215686
230.0 - BLD 05_8448234,62,1,0.015873016
230.0 - BLD 06_8768345,101,2,0.019417476
230.0 - BLD 07_6356783,99,3,0.029411765
230.0 - BLD 08_7837000,97,6,0.058252427
231.0 - BLD 03_7117273,98,1,0.01010101
231.0 - BLD 07_8448279,56,3,0.050847458
232.0 - BLD 01_5706459,98,5,0.048543689
233.0 - BLD 01 - Community Center_8072540,99,3,0.029411765
233.0 - BLD 01_8072539,99,4,0.038834951
234.0 - BLD 01_6867547,101,2,0.019417476
234.0 - BLD 02_6822570,100,3,0.029126214
234.0 - BLD 05_6815000,101,2,0.019417476
235.0 - BLD 01_7505240,100,1,0.00990099
236.0 - BLD 01_7719778,101,2,0.019417476
237.0 - BLD 01_7031076,99,4,0.038834951
237.0 - BLD 02_7209822,101,2,0.019417476
238.0 - BLD 01_7404459,67,2,0.028985507
239.0 - BLD 01_7573694,96,7,0.067961165
24.0 - BLD 01_7889794,101,2,0.019417476
24.0 - BLD 02_7889789,101,2,0.019417476
24.0 - BLD 03_7889798,98,5,0.048543689
