account,points,anomalies
208.0 - BLD 01_8545724,59,2
21.0 - BLD 01_8300966,103,4
21.0 - BLD 02_6443527,59,5
21.0 - BLD 03_6443449,100,2
21.0 - BLD 04_8267457,103,6
21.0 - BLD 05_8267460,103,6
21.0 - BLD 06_8300965,103,4
21.0 - BLD 07_8661551,103,1
21.0 - BLD 08_8267558,103,7
21.0 - BLD 09_8096396,103,9
21.0 - BLD 10_8300961,103,5
21.0 - BLD 11_8267547,103,9
21.0 - BLD 12_8267555,103,8
21.0 - BLD 14_8267461,77,9
21.0 - BLD 14_8300960,77,6
21.0 - BLD 15_8267458,102,7
21.0 - BLD 16_8267556,103,5
21.0 - BLD 17_7833954,103,3
21.0 - BLD 18_8009861,103,4
21.0 - BLD 19_7833988,103,4
21.0 - BLD 20_7833963,103,2
21.0 - BLD 21_7833964,103,5
21.0 - BLD 22_7833959,103,6
21.0 - BLD 23_7833960,103,3
21.0 - BLD 24_7833966,103,7
21.0 - BLD 25_8009854,103,4
21.0 - BLD 26_7833965,103,3
21.0 - BLD 27_7833950,103,2
210.0 - BLD 02_6529272,78,3
210.0 - BLD 03_7573620,100,0
210.0 - BLD 04_7574699,103,0
210.0 - BLD 05_7117230,103,0
210.0 - BLD 06_6599069,103,0
210.0 - BLD 07_5922822,103,5
210.0 - BLD 08_7754296,101,1
210.0 - BLD 09_6653509,98,2
210.0 - BLD 10_8448625,103,2
211.0 - BLD 01_7391516,103,0
211.0 - BLD 08_8570389,103,3
211.0 - BLD 09_8009553,103,10
214.0 - BLD 01_8349989,103,1
215.0 - BLD 01_6383266,103,0
216.0 - BLD 01_7115462,102,4
216.0 - BLD 01_7383579,94,1
218.0 - BLD 01_8448317,58,6
22.0 - BLD 01_7693527,71,2
22.0 - BLD 01_8322347,59,2
22.0 - BLD 02_8322349,59,4
22.0 - BLD 03_8095295,59,2
22.0 - BLD 04_8322345,59,1
22.0 - BLD 05_8095296,59,2
22.0 - BLD 06_8362656,59,2
22.0 - BLD 08_8095297,59,2
22.0 - BLD 08_8322352,59,3
22.0 - BLD 09_8322346,59,1
22.0 - BLD 10_8322348,59,2
22.0 - BLD 11_8095298,59,5
22.0 - BLD 12_8322344,59,1
22.0 - BLD 13_8362654,59,1
220.0 - BLD 04_7252760,103,0
221.0 - BLD 02_8631979,103,4
221.0 - BLD 03_5705181,103,2
221.0 - BLD 05_7574718,103,3
221.0 - BLD 05_8631977,103,6
222.0 - BLD 03_9053782,101,0
223.0 - BLD 01_8383867,64,1
224.0 - BLD 01_7209833,103,0
225.0 - BLD 01_8350458,70,0
228.0 - BLD 01_5706546,103,0
